NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
4808230,TX,Anderson-Shiro Consolidated Independent School District,Anderson-Shiro Consolidated Independent School District,2020,"2,152,250",,"2,152,250","4,115,940","6,268,190",,,
4639540,SD,Andes Central School District No. 11-1,Andes Central School District No. 11-1,2020,,"15,086","-15,086",,"-15,086",,,
2003360,KS,Andover Unified School District No. 385,Andover Unified School District No. 385,2020,"37,593,599",,"37,593,599",,"37,593,599",,,
1903630,IA,Andrew Community School District,Andrew Community School District,2020,"1,129,588",,"1,129,588",,"1,129,588",,,
4808280,TX,Andrews Independent School District,Andrews Independent School District,2020,"11,406,086",,"11,406,086","18,670,023","30,076,109",,,
4808310,TX,Angleton Independent School District,Angleton Independent School District,2020,"20,591,233",,"20,591,233","13,859,271","34,450,504",,,
1903690,IA,Ankeny Community School District,Ankeny Community School District,2020,"60,997,142",,"60,997,142",,"60,997,142",,,
2602820,MI,Ann Arbor Public Schools,Ann Arbor Public Schools,2020,"492,622,188",,"492,622,188",,"492,622,188",,,
1703750,IL,Anna CC School District 37,Anna Cc School Dist 37,2020,"1,013,250",,"1,013,250","23,461,418","24,474,668",,,
4808340,TX,Anna Independent School District,Anna Independent School District,2020,"10,080,310",,"10,080,310","17,087,869","27,168,179",,,
3910004,OH,Anna Local School District,Anna Local School District,2020,"13,712,711",,"13,712,711",,"13,712,711",,,
2703150,MN,Annandale Independent School District No. 876,Annandale Independent School District No. 876,2020,"12,700,822",,"12,700,822","981,810","13,682,632",,,
2400060,MD,Anne Arundel County Board of Education,Anne Arundel County Board Of Education,2020,"64,243,619",,"64,243,619","623,686,689","687,930,308",,,
100090,AL,Anniston City Board of Education,Anniston City Board Of Education,2020,"22,046,000",,"22,046,000",,"22,046,000",,,
